Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
EOG,2024-01-09,110.05900573730467,2024-02-21,111.2060089111328,0.008402886611943883,43,BB_lower_cross (z=-1.78),BB_upper_cross,2024-01-09,2024-02-21
HAL,2024-01-09,33.27704620361328,2024-01-26,36.18914794921875,0.08533797556192346,17,BB_lower_cross (z=-1.77),BB_upper_cross,2024-01-09,2024-01-26
DIS,2024-01-09,88.48710632324219,2024-01-19,91.8323745727539,0.03573161235586264,10,BB_lower_cross (z=-1.53),BB_upper_cross,2024-01-09,2024-01-19
STLD,2024-01-09,110.5029296875,2024-01-30,119.73351287841795,0.08136757476373213,21,BB_lower_cross (z=-1.79),BB_upper_cross,2024-01-09,2024-01-30
GL,2024-01-09,117.5064468383789,2024-01-22,121.01763916015624,0.027823144388313237,13,BB_lower_cross (z=-2.44),BB_upper_cross,2024-01-09,2024-01-22
SLB,2024-01-09,46.6462287902832,2024-03-01,47.67513275146485,0.020015529119981057,52,BB_lower_cross (z=-2.03),BB_upper_cross,2024-01-09,2024-03-01
AZO,2024-01-09,2521.280029296875,2024-01-16,2669.56005859375,0.05669590101258337,7,BB_lower_cross (z=-1.67),BB_upper_cross,2024-01-09,2024-01-16
OTIS,2024-01-09,84.8250503540039,2024-01-29,87.18726348876953,0.02579441802844107,20,BB_lower_cross (z=-1.90),BB_upper_cross,2024-01-09,2024-01-29
HPE,2024-01-09,15.475974082946776,2024-03-01,14.91983699798584,-0.03786171687496154,52,BB_lower_cross (z=-2.24),BB_upper_cross,2024-01-09,2024-03-01
ES,2024-01-09,53.99773788452149,2024-02-14,53.12260437011719,-0.018172475783585496,36,BB_lower_cross (z=-2.56),BB_upper_cross,2024-01-09,2024-02-14
BKR,2024-01-09,30.48180389404297,2024-02-23,29.023813247680664,-0.049733942534715636,45,BB_lower_cross (z=-2.30),BB_upper_cross,2024-01-09,2024-02-23
MOS,2024-01-09,32.69454574584961,2024-02-22,30.81071281433105,-0.05950205922431007,44,BB_lower_cross (z=-2.32),BB_upper_cross,2024-01-09,2024-02-22
LULU,2024-01-09,485.7099914550781,2024-03-21,478.8399963378906,-0.016113974438011325,72,BB_lower_cross (z=-1.97),BB_upper_cross,2024-01-09,2024-03-21
NEM,2024-01-09,37.34123611450195,2024-03-11,34.28868865966797,-0.08358203016404064,62,BB_lower_cross (z=-1.67),BB_upper_cross,2024-01-09,2024-03-11
VLO,2024-01-10,118.28314208984376,2024-01-25,127.4693832397461,0.0755099747073098,15,BB_lower_cross (z=-1.51),BB_upper_cross,2024-01-10,2024-01-25
IQV,2024-01-10,217.1300048828125,2024-02-14,243.47000122070312,0.11906941559252293,35,BB_lower_cross (z=-1.76),BB_upper_cross,2024-01-10,2024-02-14
XOM,2024-01-10,93.7252960205078,2024-01-30,99.57540130615234,0.06029485821678815,20,BB_lower_cross (z=-1.68),BB_upper_cross,2024-01-10,2024-01-30
SBAC,2024-01-10,236.08795166015625,2024-03-08,217.4532623291016,-0.08077142967087925,58,BB_lower_cross (z=-1.58),BB_upper_cross,2024-01-10,2024-03-08
GIS,2024-01-10,59.54952621459961,2024-02-20,62.029571533203125,0.039565555941691644,41,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-10,2024-02-20
OXY,2024-01-10,55.30220413208008,2024-02-15,58.52492141723633,0.05616022767942597,36,BB_lower_cross (z=-1.55),BB_upper_cross,2024-01-10,2024-02-15
CRL,2024-01-10,213.13999938964844,2024-02-12,225.77999877929688,0.057187250332564776,33,BB_lower_cross (z=-1.73),BB_upper_cross,2024-01-10,2024-02-12
TSLA,2024-01-10,233.94000244140625,2024-02-26,199.3999938964844,-0.14934773773835208,47,BB_lower_cross (z=-1.51),BB_upper_cross,2024-01-10,2024-02-26
EL,2024-01-10,131.41290283203125,2024-02-05,145.564453125,0.1054745152574812,26,BB_lower_cross (z=-1.78),BB_upper_cross,2024-01-10,2024-02-05
AIZ,2024-01-10,159.53329467773438,2024-01-25,167.37808227539062,0.047077106192908724,15,BB_lower_cross (z=-1.51),BB_upper_cross,2024-01-10,2024-01-25
MKC,2024-01-10,64.02618408203125,2024-02-29,66.52848815917969,0.03700642258871256,50,BB_lower_cross (z=-1.67),BB_upper_cross,2024-01-10,2024-02-29
COP,2024-01-10,106.3752212524414,2024-02-08,108.9776611328125,0.022417836293199933,29,BB_lower_cross (z=-1.81),BB_upper_cross,2024-01-10,2024-02-08
CVX,2024-01-10,135.36343383789062,2024-02-02,142.61404418945312,0.05145900195373909,23,BB_lower_cross (z=-1.73),BB_upper_cross,2024-01-10,2024-02-02
